"","C24","CCA1-OX","COL","LER","PIF4OX","PIF5OXL1","PIF5OXL2","WS","elf3","elf4","hy2-103","hy5-1","pif4","pif4pif5","pif5s1","toc1-2"
"4240",0.00103046284952843,0.00200043296718082,0.000585200019280718,0.00140413261168732,0.002771692911594,0.00277900208080581,0.0022660968589959,0.00108738340248085,0.00293959066014052,0.00206593758567751,0.00214967896040637,0.000484211288504004,0.000343456389376599,-1.34784397852157e-06,2.99162798723765e-06,0.00150356870485241
"4250",0.00108461628653645,0.00195585167726698,0.000604634387053499,0.00140705652954638,0.0027615043065784,0.00272164961561821,0.00217936417356267,0.00108284827848183,0.00288855648996332,0.00203111941727334,0.00209620215532412,0.000494860451215434,0.000363105375037049,-1.29400440858847e-06,3.59706753564516e-06,0.00151728991830837
"4260",0.00113248557391474,0.00189378517067386,0.000621700623080362,0.00140354582572442,0.00272413788059293,0.00264191383147253,0.00209195376371970,0.00107073840661379,0.00282674454251660,0.00198868527343015,0.00204053225136485,0.000499148468846672,0.000379040875351028,-1.20245666493340e-06,4.24453899188634e-06,0.00152387037450193
"4270",0.00117286859810331,0.00198107794092432,0.000635871181653423,0.00139258199411282,0.00265985314761336,0.00253860353156944,0.0020046590677181,0.00105091576682927,0.00275554866296428,0.00193658097864191,0.00198013954494403,0.000496156500329414,0.000388859728900155,-1.05924022543652e-06,4.91738195498614e-06,0.00151985817994477
"4280",0.00120387785737559,0.00189504336813410,0.000646669279618149,0.00137426727729372,0.00256835654980511,0.00241531115676850,0.00191779829987708,0.00102318425379935,0.00267531477133612,0.00187426679669523,0.00191360205160443,0.000484730030955415,0.000389810481491894,-8.48858753222693e-07,5.58370695101448e-06,0.00150313997974962
"4290",0.00122311257639938,0.00178458182762670,0.000653575596623803,0.00134919261811646,0.00244975872013943,0.00227906601729932,0.00182920657039536,0.000987170779594175,0.00258463512583319,0.00180239700935819,0.00184103871348682,0.000464615650191641,0.000380765908810491,-5.55274539774474e-07,6.20648762188748e-06,0.00147322212279301
"4300",0.0012282020274328,0.00165013092806937,0.00065608029019916,0.00131797950158397,0.00230518977930617,0.00213682268642522,0.00173658521405286,0.000942750593515582,0.00248198818765416,0.00172160894371486,0.00176298990363533,0.000436116351622627,0.000361872197302409,-1.59527976819905e-07,6.74457413756873e-06,0.00142982427824197
"4310",0.00121730656856497,0.00149845156785033,0.000653675292218682,0.00128068018205711,0.00214011369607904,0.00199299834343884,0.00164209620029587,0.000891533460900845,0.00236712512212632,0.0016318880045029,0.00167936063245522,0.000400002479135541,0.000335668850069728,3.58323896937097e-07,7.13452076921207e-06,0.00137494280360321
"4320",0.00118897569110807,0.00133872765848970,0.000646070309010063,0.00123737513854799,0.00196372061376401,0.0018510304684605,0.00155291557743676,0.000836220077628947,0.00224051296533749,0.00153264518783279,0.00158894376027518,0.000357120430093734,0.000304955082562707,1.01795094169664e-06,7.30537199907803e-06,0.00131269347194384
"4330",0.00114193480441682,0.00117966733400269,0.000633066372113259,0.00118831588910658,0.00178626642923066,0.00171474062462572,0.00147642612773750,0.000779517698637302,0.00210285571360175,0.00142339950793517,0.00149044254017665,0.000308421978492259,0.000272165329317144,1.83754186605255e-06,7.20324431151891e-06,0.001247204117659
